TIME,NE,SE,SW,NW,Quat.x,Quat.y,Quat.z,Quat.w
0,0,0.0270833,0.044375,0.0172917,-0.154803,0.001827,-0.002468,-0.987941
0,0,0.0275,0.0341667,0.00666667,-0.193706,0.002042,-0.002557,-0.981054
0,0.005,0.0322917,0.0272917,0,-0.193706,0.002042,-0.002557,-0.981054
0,0.0189583,0.046875,0.0279167,0,-0.236608,0.002236,-0.002651,-0.971599
0,0.03375,0.0627083,0.0289583,0,-0.259531,0.002325,-0.002700,-0.965728
0,0.0491667,0.0772917,0.028125,0,-0.259531,0.002325,-0.002700,-0.965728
0,0.0652083,0.0933333,0.028125,0,-0.301914,0.002465,-0.002789,-0.953328
0,0.0814583,0.110208,0.02875,0,-0.333828,0.002554,-0.002855,-0.942626
0,0.0989583,0.125417,0.0264583,0,-0.353582,0.002602,-0.002895,-0.935396
0,0.115625,0.1425,0.026875,0,-0.387365,0.002673,-0.002964,-0.921918
0,0.133958,0.157292,0.0233333,0,-0.394243,0.002686,-0.002978,-0.918998
0,0.14875,0.1725,0.02375,0,0.436122,-0.002754,0.003062,0.899878
0,0.16375,0.185208,0.0214583,0,0.471683,-0.002797,0.003132,0.881758
0,0.177708,0.195208,0.0175,0,0.478843,-0.002805,0.003146,0.877890
0,0.185833,0.203333,0.0141667,0,0.529020,-0.002822,0.003257,0.848598
0,0.196042,0.205208,0.00395833,0,0.550401,-0.002771,0.003334,0.834889
0,0.199583,0.209375,0.000416667,0,0.585440,-0.002542,0.003548,0.810704
0,0.207813,0.209687,0,0,0.606027,-0.002310,0.003735,0.795432
0,0.209271,0.211562,0,0,0.632847,-0.001969,0.004003,0.774264
0,0.213229,0.210729,0,0,0.652470,-0.001692,0.004216,0.757801
0,0.216146,0.207813,0,0,0.684116,-0.001285,0.004516,0.729358
0,0.217917,0.203125,0,0,0.714265,-0.001090,0.004613,0.699860
0,0.220625,0.196042,0,0.00395833,0.737139,-0.001202,0.004423,0.675726
0,0.235208,0.204167,0,0.0310417,0.737139,-0.001202,0.004423,0.675726
0,0.219583,0.190208,0,0.029375,0.778505,-0.001795,0.003661,0.627626
0,0.216667,0.17625,0,0.0404167,0.796785,-0.002094,0.003275,0.604251
0,0.230521,0.183854,0.0278125,0.0744792,0.805278,-0.002244,0.003081,0.592885
0,0.266979,0.220104,0.0871875,0.134063,0.828145,-0.002699,0.002494,0.560501
0,0.318542,0.266042,0.154792,0.207292,0.828145,-0.002699,0.002494,0.560501
0,0.370521,0.312188,0.226979,0.285313,0.841295,-0.003005,0.002097,0.540564
0,0.425417,0.357708,0.303125,0.370833,0.860245,-0.003544,0.001394,0.509866
0,0.492917,0.412083,0.390417,0.47125,0.864684,-0.003698,0.001190,0.502301
0,0.584063,0.489687,0.502188,0.596979,0.876625,-0.004250,0.000446,0.481156
0,0.680521,0.548021,0.601562,0.734479,0.876625,-0.004250,0.000446,0.481156
0,0.761563,0.629687,0.727604,0.859896,0.881389,-0.004307,0.000535,0.472371
0,0.856875,0.700208,0.843333,1,0.877508,-0.004225,0.000802,0.479543
0,0.875625,0.688542,0.878333,1,0.869691,-0.005693,-0.001863,0.493560
0,0.901354,0.644271,0.878646,1,0.869691,-0.005693,-0.001863,0.493560
0,0.879271,0.621354,0.900729,1,0.848418,-0.012277,-0.013811,0.529004
0,0.877188,0.578438,0.902813,1,0.812542,-0.025585,-0.037504,0.581132
0,0.897813,0.516146,0.882188,1,0.777969,-0.038708,-0.060413,0.624193
0,0.885833,0.493125,0.894167,1,0.744789,-0.051005,-0.081554,0.660331
0,0.875833,0.47125,0.904167,1,0.732189,-0.055579,-0.089343,0.672925
0,0.811562,0.391354,0.846771,1,-0.599120,0.100008,0.163433,-0.777395
0,0.664687,0.228021,0.701146,1,-0.599120,0.100008,0.163433,-0.777395
0,0.865729,0.403021,0.890312,1,-0.395369,0.144809,0.245192,-0.873266
0,0.885833,0.396875,0.894167,1,-0.298615,0.162189,0.276385,-0.898963
0,0.904687,0.392396,0.875313,1,-0.152423,0.186158,0.316709,-0.917501
0,0.936875,0.406875,0.843125,1,0.055480,0.214265,0.360303,-0.906198
0,0.988646,0.453229,0.791354,1,0.055480,0.214265,0.360303,-0.906198
0,1,0.490208,0.7725,1,0.330306,0.235827,0.392830,-0.825208
0,1,0.537396,0.743854,1,0.336540,0.169287,0.465166,-0.801064
0,1,0.592917,0.733542,1,-0.021685,0.022208,0.562753,-0.826042
0,1,0.645625,0.726458,1,-0.021685,0.022208,0.562753,-0.826042
0,1,0.693125,0.722917,1,-0.103108,-0.013447,0.604185,-0.790031
0,1,0.727604,0.730729,1,0.004345,0.001927,0.647072,-0.762414
0,1,0.758021,0.742604,1,0.016422,-0.018081,0.706761,-0.707031
0,1,0.792396,0.750938,0.987604,0.020401,-0.023373,0.713808,-0.699654
0,1,0.821146,0.766563,0.958854,0.039319,-0.050705,0.740682,-0.668785
0,1,0.8525,0.785417,0.932917,0.077550,-0.118895,0.781094,-0.608064
0,1,0.898125,0.831667,0.933542,0.098194,-0.165777,0.799597,-0.568789
0,1,0.946458,0.891458,0.945,0.098194,-0.165777,0.799597,-0.568789
0,1,0.99875,0.95,0.95125,0.115835,-0.214901,0.814621,-0.526110
0,0.949375,1,0.970208,0.919583,0.135884,-0.298754,0.833695,-0.444111
0,0.894583,1,0.999583,0.894167,0.139977,-0.351094,0.843686,-0.381226
0,0.78625,0.938125,1,0.848125,0.137930,-0.377238,0.849357,-0.342432
0,0.754792,0.944167,1,0.835833,0.136400,-0.384833,0.851357,-0.329380
0,0.715104,0.939063,1,0.840938,0.126134,-0.408882,0.860403,-0.276789
0,0.674687,0.932187,1,0.847812,0.085822,-0.422106,0.886289,-0.170156
0,0.625313,0.911146,1,0.868854,0.071756,-0.417232,0.894588,-0.143113
0,0.59875,0.905417,1,0.874583,-0.056145,0.408790,-0.903509,0.115802
0,0.56375,0.890208,1,0.889792,-0.007562,-0.349243,0.936819,-0.018492
0,0.528542,0.873542,1,0.906458,-0.037701,-0.308680,0.950115,0.024014
0,0.492083,0.851042,1,0.928958,-0.099276,-0.199585,0.968589,0.110204
0,0.459896,0.830521,1,0.949479,-0.129022,-0.131419,0.970829,0.153535
0,0.430312,0.805104,1,0.974896,-0.165518,-0.027702,0.962994,0.210901
0,0.303438,0.677813,1,0.895521,-0.173838,0.000263,0.958710,0.225068
0,0.16375,0.528542,1,0.803542,-0.214123,0.212460,0.897914,0.320565
0,0.187917,0.541875,1,0.874792,-0.215503,0.373871,0.816509,0.383525
0,0.143958,0.4675,1,0.866875,-0.209448,0.437493,0.774105,0.406809
0,0.0822917,0.361875,1,0.833542,-0.177032,0.586975,0.642804,0.459263
0,0.0586458,0.290521,1,0.833438,-0.157030,0.640433,0.580436,0.477789
0,0.0785417,0.255833,1,0.864167,-0.105937,0.731221,0.440240,0.510178
0,0.197083,0.319792,1,0.984792,-0.043324,0.794553,0.283035,0.535442
0,0.297812,0.366354,1,1,-0.007656,-0.820915,-0.157845,-0.548749
0,0.456667,0.473958,1,1,-0.139977,-0.796277,0.182078,-0.559640
0,0.458229,0.427604,1,1,-0.194218,-0.733935,0.343226,-0.553005
0,0.528438,0.497604,1,1,-0.234419,-0.642852,0.491218,-0.538975
0,0.368854,0.369479,1,1,-0.241879,-0.616243,0.525629,-0.534279
0,0.205937,0.257812,1,0.979062,-0.262651,-0.464125,0.680199,-0.502924
0,0.115417,0.266667,1,0.93875,-0.263036,-0.395999,0.733066,-0.486428
0,0,0.276875,0.970625,0.920833,0.250665,0.250777,-0.821918,0.445789
0,0,0.236875,1,0.862083,0.222860,0.097406,-0.886490,0.393676
0,0,0.11,1,0.723333,-0.123127,0.216052,0.934756,-0.253757
0,0,0.0895833,1,0.677292,-0.045781,0.367950,0.913851,-0.165506
0,0,0.176354,1,0.770104,0.047052,0.505793,0.858888,-0.065353
0,0,0.0783333,1,0.699583,0.096965,0.566141,0.818504,-0.011522
0,0,0.0465625,0.984271,0.716354,0.255439,0.700112,0.646424,0.163496
0,0,0.0466667,1,0.766875,0.356691,0.739149,0.494473,0.286229
0,0,0.0725,1,0.799167,0.442050,0.732148,0.321005,0.406826
0,0,0.164687,1,0.889271,0.442050,0.732148,0.321005,0.406826
0,0,0.180208,1,0.846042,0.518940,0.638666,0.042442,0.566574
0,0,0.074375,0.891042,0.711667,0.523878,0.497269,-0.186247,0.666023
0,0,0.055625,0.847708,0.641458,-0.498220,-0.389722,0.315674,-0.707278
0,0,0.151875,0.92,0.679583,-0.450201,-0.269038,0.435266,-0.731766
0,0,0.194479,0.952604,0.676979,-0.292327,-0.008089,0.630029,-0.719404
0,0,0.203854,0.968021,0.660521,-0.187633,0.121579,0.698973,-0.679300
0,0,0.105729,0.887188,0.561562,0.012932,0.318868,0.763756,-0.561100
0,0,0.00729167,0.801042,0.462708,0.055733,0.353698,0.768715,-0.529971
0,0,0,0.716979,0.367812,0.230044,0.470555,0.761321,-0.382161
0,0,0.0682292,0.869271,0.509271,0.474228,0.560313,0.671400,-0.101876
0,0,0.261667,1,0.690417,0.624157,0.548762,0.532146,0.161584
0,0,0.140729,0.928646,0.545937,0.645131,0.537604,0.498790,0.214467
0,0,0.026875,0.801667,0.407917,0.697402,0.443315,0.312498,0.468453
0,0,0,0.684063,0.279062,0.670708,0.329299,0.149203,0.647650
0,0,0,0.672396,0.257812,0.608382,0.229276,0.026030,0.759359
0,0,0,0.662604,0.239271,-0.283661,0.041272,0.271375,-0.918797
0,0,0,0.655417,0.223542,-0.119155,0.124583,0.362487,-0.915906
0,0,0,0.642292,0.202083,0.055545,0.189218,0.439415,-0.876371
0,0,0.0214583,0.62625,0.178542,0.342087,0.246951,0.534116,-0.732606
0,0,0.0464583,0.608333,0.153542,0.494618,0.250235,0.571268,-0.605301
0,0,0.0655208,0.598646,0.134479,0.582566,0.240316,0.588305,-0.506717
0,0,0.0782292,0.602396,0.121771,0.784086,0.130856,0.604822,-0.047715
0,0,0.085625,0.614167,0.114375,0.792402,0.094594,0.598314,0.071913
0,0,0.0729167,0.634167,0.127083,0.721324,-0.006245,0.559245,0.408531
0,0,0.0590625,0.651563,0.140937,0.640130,-0.042435,0.530256,0.554311
0,0,0.0376042,0.660312,0.162396,0.607846,-0.051381,0.519299,0.598509
0,0,0.00864583,0.662813,0.191354,0.378067,-0.066405,0.440208,0.811710
0,0,0,0.663333,0.221458,0.252179,-0.048235,0.391906,0.883453
0,0,0,0.627708,0.229792,-0.049080,-0.016706,-0.297973,-0.953166
0,0,0,0.583021,0.228646,0.154317,-0.137186,-0.162760,-0.964819
0,0,0,0.544271,0.220521,0.181964,-0.159965,-0.137872,-0.960360
0,0,0.00729167,0.525417,0.192708,0.252513,-0.229946,-0.059401,-0.937994
0,0,0.03875,0.511458,0.16125,0.326349,-0.342224,0.082710,-0.877233
0,0,0.0805208,0.510104,0.119479,0.344353,-0.400066,0.173478,-0.831428
0,0,0.147813,0.535312,0.0853125,0.327402,-0.476514,0.362268,-0.731097
