TIME,NE,SE,SW,NW,Quat.x,Quat.y,Quat.z,Quat.w
0,0.000833333,0.000416667,0,0.000416667,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0.000625,0.000208333,0,0.000416667,0.000000,-0.000000,0.000000,-1.000000
0,0.000625,0.000208333,0,0.000416667,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0.000625,0.000208333,0,0.000416667,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0.000416667,0.000416667,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0.000625,0.000208333,0,0.000416667,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0.000208333,0.000208333,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0,0,0,0,0.000000,-0.000000,0.000000,-1.000000
0,0.363333,0.363333,0.363333,0.363333,0.000000,-0.000000,0.000000,-1.000000
0,0.361875,0.362292,0.363542,0.363125,0.000000,-0.000000,0.000000,-1.000000
0,0.36125,0.361667,0.362708,0.362292,0.000000,-0.000000,0.000000,-1.000000
0,0.360938,0.361354,0.362396,0.361979,0.000000,-0.000000,0.000000,-1.000000
0,0.360521,0.360521,0.360521,0.360521,0.000000,-0.000000,0.000000,-1.000000
0,0.359375,0.359792,0.360625,0.360208,0.000000,-0.000000,0.000000,-1.000000
0,0.358438,0.358854,0.359896,0.359479,0.000000,-0.000000,0.000000,-1.000000
0,0.356667,0.357083,0.358125,0.357708,0.000000,-0.000000,0.000000,-1.000000
0,0.357083,0.3575,0.358542,0.358125,0.000000,-0.000000,0.000000,-1.000000
0,0.357083,0.3575,0.358542,0.358125,0.000000,-0.000000,0.000000,-1.000000
0,0.358438,0.358854,0.359687,0.359271,0.000000,-0.000000,0.000000,-1.000000
0,0.359271,0.359687,0.360521,0.360104,0.000000,-0.000000,0.000000,-1.000000
0,0.36,0.360625,0.361458,0.360833,0.000000,-0.000000,0.000000,-1.000000
0,0.360312,0.360938,0.361771,0.361146,0.000000,-0.000000,0.000000,-1.000000
